code,code2,occupation
4060,4060,"EAT-Counter Attendants, Cafeteria, Food Concession, And Coffee Shop"
4110,4110,EAT-Waiters And Waitresses
4120,4120,"EAT-Food Servers, Nonrestaurant"
4130,4130,"EAT-Miscellaneous Food Preparation And Serving Related Workers, Including Dining Room And Cafeteria Attendants And Bartender Helpers"
4140,4140,EAT-Dishwashers
4150,4150,"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop"
4200,4200,CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers
4210,4210,"CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers"
4220,4220,CLN-Janitors And Building Cleaners
4230,4230,CLN-Maids And Housekeeping Cleaners
4240,4240,CLN-Pest Control Workers
4250,4250,CLN-Grounds Maintenance Workers
4300,4300,PRS-First-Line Supervisors Of Gaming Workers
4320,4320,PRS-First-Line Supervisors Of Personal Service Workers
4340,4340,PRS-Animal Trainers
4350,4350,PRS-Nonfarm Animal Caretakers
4400,4400,PRS-Gaming Services Workers
4410,4410,PRS-Motion Picture Projectionists
4420,4420,"PRS-Ushers, Lobby Attendants, And Ticket Takers"
4430,4430,PRS-Miscellaneous Entertainment Attendants And Related Workers
4460,4460,PRS-Embalmers And Funeral Attendants
4465,4465,"PRS-Morticians, Undertakers, And Funeral Directors"
4500,4500,PRS-Barbers
4510,4510,"PRS-Hairdressers, Hairstylists, And Cosmetologists"
4520,4520,PRS-Miscellaneous Personal Appearance Workers
4530,4530,"PRS-Baggage Porters, Bellhops, And Concierges"
4540,4540,PRS-Tour And Travel Guides
4600,4600,PRS-Childcare Workers
4610,4610,PRS-Personal Care Aides
4620,4620,PRS-Recreation And Fitness Workers
4640,4640,PRS-Residential Advisors
4650,4650,"PRS-Personal Care And Service Workers, All Other"
4700,4700,SAL-First-Line Supervisors Of Retail Sales Workers
4710,4710,SAL-First-Line Supervisors Of Non-Retail Sales Workers
4720,4720,SAL-Cashiers
4740,4740,SAL-Counter And Rental Clerks
4750,4750,SAL-Parts Salespersons
4760,4760,SAL-Retail Salespersons
4800,4800,SAL-Advertising Sales Agents
4810,4810,SAL-Insurance Sales Agents
4820,4820,"SAL-Securities, Commodities, And Financial Services Sales Agents"
4830,4830,SAL-Travel Agents
4840,4840,"SAL-Sales Representatives, Services, All Other"
4850,4850,"SAL-Sales Representatives, Wholesale And Manufacturing"
4900,4900,"SAL-Models, Demonstrators, And Product Promoters"
4920,4920,SAL-Real Estate Brokers And Sales Agents
4930,4930,SAL-Sales Engineers
4940,4940,SAL-Telemarketers
4950,4950,"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers"
4965,4965,"SAL-Sales And Related Workers, All Other"
5000,5000,OFF-First-Line Supervisors Of Office And Administrative Support Workers
5010,5010,"OFF-Switchboard Operators, Including Answering Service"
5020,5020,OFF-Telephone Operators
5030,5030,"OFF-Communications Equipment Operators, All Other"
5100,5100,OFF-Bill And Account Collectors
5110,5110,OFF-Billing And Posting Clerks
5120,5120,"OFF-Bookkeeping, Accounting, And Auditing Clerks"
5130,5130,OFF-Gaming Cage Workers
5140,5140,OFF-Payroll And Timekeeping Clerks
5150,5150,OFF-Procurement Clerks
5160,5160,OFF-Tellers
5165,5165,"OFF-Financial Clerks, All Other"
5200,5200,OFF-Brokerage Clerks
5220,5220,"OFF-Court, Municipal, And License Clerks"
5230,5230,"OFF-Credit Authorizers, Checkers, And Clerks"
5240,5240,OFF-Customer Service Representatives
5250,5250,"OFF-Eligibility Interviewers, Government Programs"
5260,5260,OFF-File Clerks
5300,5300,"OFF-Hotel, Motel, And Resort Desk Clerks"
5310,5310,"OFF-Interviewers, Except Eligibility And Loan"
5320,5320,"OFF-Library Assistants, Clerical"
5330,5330,OFF-Loan Interviewers And Clerks
5340,5340,OFF-New Accounts Clerks
5350,5350,OFF-Correspondence Clerks And Order Clerks
5360,5360,"OFF-Human Resources Assistants, Except Payroll And Timekeeping"
5400,5400,OFF-Receptionists And Information Clerks
